$FoxTransitionModel
$FoxTransitionModel[[1]]
   V1         V2    V3    V4        V5        V6
4  F3 do_nothing  LowF  LowF 0.5666667 0.4333333
5  F3         a1 HighF HighF 0.8750000 0.1250000
6  F3         a1 HighF  LowF 0.5750000 0.4250000
7  F3         a1  LowF HighF 0.8666667 0.1333333
8  F3         a1  LowF  LowF 0.5666667 0.4333333
9  F3         a2 HighF HighF 0.4913919 0.5086081
10 F3         a2 HighF  LowF 0.3833333 0.6166667
11 F3         a2  LowF HighF 0.4545455 0.5454545
12 F3         a2  LowF  LowF 0.3333333 0.6666667
13 F3         a3 HighF HighF 0.4588828 0.5411172
14 F3         a3 HighF  LowF 0.3416667 0.6583333
15 F3         a3  LowF HighF 0.4481061 0.5518939
16 F3         a3  LowF  LowF 0.3250000 0.6750000
17 F3         a4 HighF HighF 0.3548535 0.6451465
18 F3         a4 HighF  LowF 0.2083333 0.7916667
19 F3         a4  LowF HighF 0.3386364 0.6613636
20 F3         a4  LowF  LowF 0.1833333 0.8166667
21 F3         a5 HighF HighF 0.2833333 0.7166667
22 F3         a5 HighF  LowF 0.1166667 0.8833333
23 F3         a5  LowF HighF 0.3000000 0.7000000
24 F3         a5  LowF  LowF 0.1333333 0.8666667

$FoxTransitionModel[[4]]
   V1         V2    V3    V4        V5        V6
1  F4 do_nothing HighF HighF 0.8750000 0.1250000
2  F4 do_nothing HighF  LowF 0.5750000 0.4250000
3  F4 do_nothing  LowF HighF 0.8666667 0.1333333
4  F4 do_nothing  LowF  LowF 0.5666667 0.4333333
5  F4         a1 HighF HighF 0.8750000 0.1250000
6  F4         a1 HighF  LowF 0.5750000 0.4250000
7  F4         a1  LowF HighF 0.8666667 0.1333333
8  F4         a1  LowF  LowF 0.5666667 0.4333333
9  F4         a2 HighF HighF 0.4913919 0.5086081
10 F4         a2 HighF  LowF 0.3833333 0.6166667
11 F4         a2  LowF HighF 0.4545455 0.5454545
12 F4         a2  LowF  LowF 0.3333333 0.6666667
13 F4         a3 HighF HighF 0.8750000 0.1250000
14 F4         a3 HighF  LowF 0.5750000 0.4250000
15 F4         a3  LowF HighF 0.8666667 0.1333333
16 F4         a3  LowF  LowF 0.5666667 0.4333333
17 F4         a4 HighF HighF 0.3548535 0.6451465
18 F4         a4 HighF  LowF 0.2083333 0.7916667
19 F4         a4  LowF HighF 0.3386364 0.6613636
20 F4         a4  LowF  LowF 0.1833333 0.8166667
21 F4         a5 HighF HighF 0.2833333 0.7166667
22 F4         a5 HighF  LowF 0.1166667 0.8833333
23 F4         a5  LowF HighF 0.3000000 0.7000000
24 F4         a5  LowF  LowF 0.1333333 0.8666667

$FoxTransitionModel[[5]]
   V1         V2    V3    V4        V5        V6
1  F5 do_nothing HighF HighF 0.8750000 0.1250000
2  F5 do_nothing HighF  LowF 0.5750000 0.4250000
3  F5 do_nothing  LowF HighF 0.8666667 0.1333333
4  F5 do_nothing  LowF  LowF 0.5666667 0.4333333
5  F5         a1 HighF HighF 0.8750000 0.1250000
6  F5         a1 HighF  LowF 0.5750000 0.4250000
7  F5         a1  LowF HighF 0.8666667 0.1333333
8  F5         a1  LowF  LowF 0.5666667 0.4333333
9  F5         a2 HighF HighF 0.4913919 0.5086081
10 F5         a2 HighF  LowF 0.3833333 0.6166667
11 F5         a2  LowF HighF 0.4545455 0.5454545
12 F5         a2  LowF  LowF 0.3333333 0.6666667
13 F5         a3 HighF HighF 0.8750000 0.1250000
14 F5         a3 HighF  LowF 0.5750000 0.4250000
15 F5         a3  LowF HighF 0.8666667 0.1333333
16 F5         a3  LowF  LowF 0.5666667 0.4333333
17 F5         a4 HighF HighF 0.8750000 0.1250000
18 F5         a4 HighF  LowF 0.5750000 0.4250000
19 F5         a4  LowF HighF 0.8666667 0.1333333
20 F5         a4  LowF  LowF 0.5666667 0.4333333
21 F5         a5 HighF HighF 0.2833333 0.7166667
22 F5         a5 HighF  LowF 0.1166667 0.8833333
23 F5         a5  LowF HighF 0.3000000 0.7000000
24 F5         a5  LowF  LowF 0.1333333 0.8666667

$FoxTransitionModel[[6]]
   V1         V2    V3    V4        V5        V6
1  F6 do_nothing HighF HighF 0.8750000 0.1250000
2  F6 do_nothing HighF  LowF 0.5750000 0.4250000
3  F6 do_nothing  LowF HighF 0.8666667 0.1333333
4  F6 do_nothing  LowF  LowF 0.5666667 0.4333333
5  F6         a1 HighF HighF 0.8750000 0.1250000
6  F6         a1 HighF  LowF 0.5750000 0.4250000
7  F6         a1  LowF HighF 0.8666667 0.1333333
8  F6         a1  LowF  LowF 0.5666667 0.4333333
9  F6         a2 HighF HighF 0.8750000 0.1250000
10 F6         a2 HighF  LowF 0.5750000 0.4250000
11 F6         a2  LowF HighF 0.8666667 0.1333333
12 F6         a2  LowF  LowF 0.5666667 0.4333333
13 F6         a3 HighF HighF 0.4588828 0.5411172
14 F6         a3 HighF  LowF 0.3416667 0.6583333
15 F6         a3  LowF HighF 0.4481061 0.5518939
16 F6         a3  LowF  LowF 0.3250000 0.6750000
17 F6         a4 HighF HighF 0.3548535 0.6451465
18 F6         a4 HighF  LowF 0.2083333 0.7916667
19 F6         a4  LowF HighF 0.3386364 0.6613636
20 F6         a4  LowF  LowF 0.1833333 0.8166667
21 F6         a5 HighF HighF 0.2833333 0.7166667
22 F6         a5 HighF  LowF 0.1166667 0.8833333
23 F6         a5  LowF HighF 0.3000000 0.7000000
24 F6         a5  LowF  LowF 0.1333333 0.8666667

$FoxTransitionModel[[7]]
   V1         V2    V3    V4        V5        V6
1  F7 do_nothing HighF HighF 0.8750000 0.1250000
2  F7 do_nothing HighF  LowF 0.5750000 0.4250000
3  F7 do_nothing  LowF HighF 0.8666667 0.1333333
4  F7 do_nothing  LowF  LowF 0.5666667 0.4333333
5  F7         a1 HighF HighF 0.8750000 0.1250000
6  F7         a1 HighF  LowF 0.5750000 0.4250000
7  F7         a1  LowF HighF 0.8666667 0.1333333
8  F7         a1  LowF  LowF 0.5666667 0.4333333
9  F7         a2 HighF HighF 0.8750000 0.1250000
10 F7         a2 HighF  LowF 0.5750000 0.4250000
11 F7         a2  LowF HighF 0.8666667 0.1333333
12 F7         a2  LowF  LowF 0.5666667 0.4333333
13 F7         a3 HighF HighF 0.8750000 0.1250000
14 F7         a3 HighF  LowF 0.5750000 0.4250000
15 F7         a3  LowF HighF 0.8666667 0.1333333
16 F7         a3  LowF  LowF 0.5666667 0.4333333
17 F7         a4 HighF HighF 0.3548535 0.6451465
18 F7         a4 HighF  LowF 0.2083333 0.7916667
19 F7         a4  LowF HighF 0.3386364 0.6613636
20 F7         a4  LowF  LowF 0.1833333 0.8166667
21 F7         a5 HighF HighF 0.2833333 0.7166667
22 F7         a5 HighF  LowF 0.1166667 0.8833333
23 F7         a5  LowF HighF 0.3000000 0.7000000
24 F7         a5  LowF  LowF 0.1333333 0.8666667

$FoxTransitionModel[[8]]
   V1         V2    V3    V4        V5        V6
1  F8 do_nothing HighF HighF 0.8750000 0.1250000
2  F8 do_nothing HighF  LowF 0.5750000 0.4250000
3  F8 do_nothing  LowF HighF 0.8666667 0.1333333
4  F8 do_nothing  LowF  LowF 0.5666667 0.4333333
5  F8         a1 HighF HighF 0.8750000 0.1250000
6  F8         a1 HighF  LowF 0.5750000 0.4250000
7  F8         a1  LowF HighF 0.8666667 0.1333333
8  F8         a1  LowF  LowF 0.5666667 0.4333333
9  F8         a2 HighF HighF 0.8750000 0.1250000
10 F8         a2 HighF  LowF 0.5750000 0.4250000
11 F8         a2  LowF HighF 0.8666667 0.1333333
12 F8         a2  LowF  LowF 0.5666667 0.4333333
13 F8         a3 HighF HighF 0.8750000 0.1250000
14 F8         a3 HighF  LowF 0.5750000 0.4250000
15 F8         a3  LowF HighF 0.8666667 0.1333333
16 F8         a3  LowF  LowF 0.5666667 0.4333333
17 F8         a4 HighF HighF 0.8750000 0.1250000
18 F8         a4 HighF  LowF 0.5750000 0.4250000
19 F8         a4  LowF HighF 0.8666667 0.1333333
20 F8         a4  LowF  LowF 0.5666667 0.4333333
21 F8         a5 HighF HighF 0.2833333 0.7166667
22 F8         a5 HighF  LowF 0.1166667 0.8833333
23 F8         a5  LowF HighF 0.3000000 0.7000000
24 F8         a5  LowF  LowF 0.1333333 0.8666667

$FoxTransitionModel[[9]]
   V1         V2    V3    V4        V5        V6
1  F9 do_nothing HighF HighF 0.8750000 0.1250000
2  F9 do_nothing HighF  LowF 0.5750000 0.4250000
3  F9 do_nothing  LowF HighF 0.8666667 0.1333333
4  F9 do_nothing  LowF  LowF 0.5666667 0.4333333
5  F9         a1 HighF HighF 0.5629121 0.4370879
6  F9         a1 HighF  LowF 0.4750000 0.5250000
7  F9         a1  LowF HighF 0.5318182 0.4681818
8  F9         a1  LowF  LowF 0.4333333 0.5666667
9  F9         a2 HighF HighF 0.4913919 0.5086081
10 F9         a2 HighF  LowF 0.3833333 0.6166667
11 F9         a2  LowF HighF 0.4545455 0.5454545
12 F9         a2  LowF  LowF 0.3333333 0.6666667
13 F9         a3 HighF HighF 0.4588828 0.5411172
14 F9         a3 HighF  LowF 0.3416667 0.6583333
15 F9         a3  LowF HighF 0.4481061 0.5518939
16 F9         a3  LowF  LowF 0.3250000 0.6750000
17 F9         a4 HighF HighF 0.3548535 0.6451465
18 F9         a4 HighF  LowF 0.2083333 0.7916667
19 F9         a4  LowF HighF 0.3386364 0.6613636
20 F9         a4  LowF  LowF 0.1833333 0.8166667
21 F9         a5 HighF HighF 0.2833333 0.7166667
22 F9         a5 HighF  LowF 0.1166667 0.8833333
23 F9         a5  LowF HighF 0.3000000 0.7000000
24 F9         a5  LowF  LowF 0.1333333 0.8666667


$SpeciesTransitionModel
$SpeciesTransitionModel[[1]]
   V1    V2       V3       V4        V5        V6         V7
5  S1 HighF LocExtSp LocExtSp 1.0000000 0.0000000 0.00000000
6  S1 HighF LocExtSp    LowSp 1.0000000 0.0000000 0.00000000
4  S1 HighF LocExtSp   HighSp 1.0000000 0.0000000 0.00000000
8  S1 HighF    LowSp LocExtSp 1.0000000 0.0000000 0.00000000
9  S1 HighF    LowSp    LowSp 0.2250000 0.7333333 0.04166667
7  S1 HighF    LowSp   HighSp 0.1750000 0.3083333 0.51666667
2  S1 HighF   HighSp LocExtSp 1.0000000 0.0000000 0.00000000
3  S1 HighF   HighSp    LowSp 0.2250000 0.7333333 0.04166667
1  S1 HighF   HighSp   HighSp 0.1666667 0.3833333 0.45000000
14 S1  LowF LocExtSp LocExtSp 1.0000000 0.0000000 0.00000000
15 S1  LowF LocExtSp    LowSp 1.0000000 0.0000000 0.00000000
13 S1  LowF LocExtSp   HighSp 1.0000000 0.0000000 0.00000000
17 S1  LowF    LowSp LocExtSp 1.0000000 0.0000000 0.00000000
18 S1  LowF    LowSp    LowSp 0.1750000 0.6833333 0.14166667
16 S1  LowF    LowSp   HighSp 0.1166667 0.1666667 0.71666667
11 S1  LowF   HighSp LocExtSp 1.0000000 0.0000000 0.00000000
12 S1  LowF   HighSp    LowSp 0.1750000 0.6833333 0.14166667
10 S1  LowF   HighSp   HighSp 0.1083333 0.2250000 0.66666667

$SpeciesTransitionModel[[2]]
   V1    V2       V3       V4         V5         V6         V7
5  S2 HighF LocExtSp LocExtSp 1.00000000 0.00000000 0.00000000
6  S2 HighF LocExtSp    LowSp 1.00000000 0.00000000 0.00000000
4  S2 HighF LocExtSp   HighSp 1.00000000 0.00000000 0.00000000
8  S2 HighF    LowSp LocExtSp 1.00000000 0.00000000 0.00000000
9  S2 HighF    LowSp    LowSp 0.22500000 0.73333333 0.04166667
7  S2 HighF    LowSp   HighSp 0.17500000 0.30833333 0.51666667
2  S2 HighF   HighSp LocExtSp 1.00000000 0.00000000 0.00000000
3  S2 HighF   HighSp    LowSp 0.22500000 0.73333333 0.04166667
1  S2 HighF   HighSp   HighSp 0.16666667 0.38333333 0.45000000
14 S2  LowF LocExtSp LocExtSp 1.00000000 0.00000000 0.00000000
15 S2  LowF LocExtSp    LowSp 1.00000000 0.00000000 0.00000000
13 S2  LowF LocExtSp   HighSp 1.00000000 0.00000000 0.00000000
17 S2  LowF    LowSp LocExtSp 1.00000000 0.00000000 0.00000000
18 S2  LowF    LowSp    LowSp 0.10833333 0.62500000 0.26666667
16 S2  LowF    LowSp   HighSp 0.03333333 0.08333333 0.88333333
11 S2  LowF   HighSp LocExtSp 1.00000000 0.00000000 0.00000000
12 S2  LowF   HighSp    LowSp 0.10833333 0.62500000 0.26666667
10 S2  LowF   HighSp   HighSp 0.03500000 0.12333333 0.84166667

$SpeciesTransitionModel[[3]]
   V1    V2       V3       V4         V5         V6        V7
5  S3 HighF LocExtSp LocExtSp 1.00000000 0.00000000 0.0000000
6  S3 HighF LocExtSp    LowSp 1.00000000 0.00000000 0.0000000
4  S3 HighF LocExtSp   HighSp 1.00000000 0.00000000 0.0000000
8  S3 HighF    LowSp LocExtSp 1.00000000 0.00000000 0.0000000
9  S3 HighF    LowSp    LowSp 0.10833333 0.62500000 0.2666667
7  S3 HighF    LowSp   HighSp 0.03333333 0.08333333 0.8833333
2  S3 HighF   HighSp LocExtSp 1.00000000 0.00000000 0.0000000
3  S3 HighF   HighSp    LowSp 0.10833333 0.62500000 0.2666667
1  S3 HighF   HighSp   HighSp 0.03500000 0.12333333 0.8416667
14 S3  LowF LocExtSp LocExtSp 1.00000000 0.00000000 0.0000000
15 S3  LowF LocExtSp    LowSp 1.00000000 0.00000000 0.0000000
13 S3  LowF LocExtSp   HighSp 1.00000000 0.00000000 0.0000000
17 S3  LowF    LowSp LocExtSp 1.00000000 0.00000000 0.0000000
18 S3  LowF    LowSp    LowSp 0.10833333 0.62500000 0.2666667
16 S3  LowF    LowSp   HighSp 0.03333333 0.08333333 0.8833333
11 S3  LowF   HighSp LocExtSp 1.00000000 0.00000000 0.0000000
12 S3  LowF   HighSp    LowSp 0.10833333 0.62500000 0.2666667
10 S3  LowF   HighSp   HighSp 0.03500000 0.12333333 0.8416667


